name,released,genres,platforms,rating,metacritic,ratings_count
Cyberpunk 2077,2020-12-10,"Shooter, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.21,73.0,2890
Hades,2020-09-17,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.43,93.0,2029
Fall Guys: Ultimate Knockout,2020-08-04,"Action, Casual, Sports, Indie, Massively Multiplayer","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.73,80.0,1336
Elden Ring,2022-02-25,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.39,95.0,1396
DOOM Eternal,2020-03-20,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",4.37,86.0,1398
Halo Infinite,2021-12-08,"Shooter, Adventure, Action","PC, Xbox One, Xbox Series S/X",3.64,84.0,721
The Last of Us Part II,2020-06-19,"Shooter, Adventure, Action","PlayStation 5, PlayStation 4",4.41,93.0,1925
Ori and the Will of the Wisps,2020-03-10,"Platformer, Adventure, Action","PC, Xbox One, Xbox Series S/X, Nintendo Switch",4.43,91.0,1279
Ghost of Tsushima,2020-07-17,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4",4.41,83.0,1093
Stray,2022-07-19,"Adventure, Action, Puzzle, Indie, Platformer","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.15,82.0,1205
It Takes Two,2021-03-26,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.47,88.0,1642
Resident Evil 3,2020-04-02,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.04,80.0,1040
Mafia: Definitive Edition,2020-09-25,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X",4.24,78.0,1083
Final Fantasy VII,2020-04-10,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4",4.38,87.0,806
Deep Rock Galactic,2020-05-13,"Indie, Action","PC, PlayStation 5, PlayStation 4",4.11,84.0,670
Vampire Survivors,2022-10-20,"Casual, Indie, Action, RPG","PC, Xbox One, Nintendo Switch, iOS, Android, Web",4.19,,764
Resident Evil: Village,2021-05-07,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS",4.39,83.0,999
Uncharted: Legacy of Thieves Collection,2022-01-28,"Adventure, Action","PC, PlayStation 5",4.46,,499
Forza Horizon 5,2021-11-08,"Racing, Arcade","PC, Xbox One, Xbox Series S/X, iOS",4.3,,741
Marvel's Guardians of the Galaxy,2021-10-26,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.3,,881
Deathloop,2021-09-14,"Action, RPG","PC, PlayStation 5, Xbox Series S/X",3.96,88.0,537
Baldur's Gate III,2023-08-03,"Strategy, Adventure, RPG","PC, PlayStation 5, Xbox Series S/X, macOS",4.43,97.0,917
Assassin's Creed Valhalla,2020-11-10,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.69,82.0,770
Ghostrunner,2020-10-27,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.85,,632
Marvel's Spider-Man: Miles Morales,2020-11-12,Action,"PC, PlayStation 5, PlayStation 4",4.27,86.0,911
Risk of Rain 2,2020-08-11,"Shooter, Arcade, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",4.14,82.0,686
Mass Effect: Legendary Edition,2021-05-14,"Shooter, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.57,88.0,550
Genshin Impact,2020-09-28,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4, Nintendo Switch, iOS, Android",3.55,83.0,1084
Factorio,2020-08-14,"Casual, Strategy, Indie, Simulation","PC, Nintendo Switch, macOS, Linux",4.37,83.0,788
Hogwarts Legacy,2023-02-10,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.94,,840
MultiVersus,2022-07-26,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.14,,183
Dying Light 2 Stay Human,2022-02-04,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.65,77.0,421
Inscryption,2021-10-19,"Indie, Strategy, Adventure","PC, PlayStation 5, PlayStation 4, Nintendo Switch, macOS, Linux",4.39,86.0,569
Persona 5 Royal,2020-03-31,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.75,94.0,507
Marvel’s Avengers,2020-09-04,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2.68,68.0,430
The Ascent,2021-07-29,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.33,73.0,316
Psychonauts 2,2021-08-24,"Platformer, Adventure, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X, macOS, Linux",4.38,88.0,384
Back 4 Blood,2021-10-07,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.22,76.0,329
Capcom Arcade Stadium,2021-02-17,"Arcade, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",2.68,78.0,73
Crusader Kings III,2020-09-01,"Strategy, RPG, Simulation","PC, PlayStation 5, Xbox Series S/X, macOS, Linux",4.32,86.0,452
Yakuza: Like a Dragon,2020-01-16,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.36,85.0,364
Spiritfarer,2020-08-18,"Indie, Adventure, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",4.12,84.0,371
