Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Game 0,GB,2009,Role-Playing,Sony,1.4,1.2,0.74,0.44,3.78
Game 1,PS3,1997,Shooter,Ubisoft,0.63,0.53,0.0,0.0,1.16
Game 2,X360,1990,Action,Ubisoft,1.58,0.0,0.0,0.09,1.67
Game 3,GB,2008,Role-Playing,EA,2.63,0.13,0.0,0.11,2.87
Game 4,PS4,1996,Platform,Nintendo,0.52,0.77,0.41,0.19,1.89
Game 5,DS,2005,Shooter,Sony,0.52,1.95,0.0,0.26,2.73
Game 6,X360,2002,Action,Microsoft,2.7,0.11,0.0,0.0,2.81
Game 7,X360,1999,Racing,Microsoft,1.72,1.14,0.16,0.32,3.34
Game 8,GB,1981,Sports,EA,0.24,0.24,0.0,0.06,0.54
Game 9,NES,2003,Action,Nintendo,1.45,0.59,0.46,0.63,3.13
Game 10,PS4,2010,Shooter,Sony,0.24,1.71,0.0,0.53,2.48
Game 11,GB,2006,Role-Playing,Ubisoft,0.24,1.11,0.0,0.73,2.08
Game 12,PS4,1981,Shooter,EA,1.09,0.0,0.0,0.0,1.09
Game 13,PS4,1993,Sports,Sony,0.0,0.04,1.29,0.71,2.04
Game 14,DS,1983,Sports,Sony,0.0,1.5,0.0,0.24,1.74
Game 15,X360,1992,Action,Sony,0.13,0.61,0.08,0.48,1.3
Game 16,PS3,2015,Role-Playing,Nintendo,0.0,0.0,0.0,0.47,0.47
Game 17,DS,2014,Role-Playing,Sony,1.18,0.0,0.0,0.38,1.56
Game 18,DS,1987,Platform,Nintendo,0.0,1.06,1.35,0.0,2.41
Game 19,PS4,1981,Sports,Nintendo,0.0,1.3,0.48,0.58,2.36
Game 20,PC,1985,Role-Playing,Activision,2.56,0.51,0.0,0.34,3.41
Game 21,X360,2010,Sports,Sony,0.53,2.48,0.28,0.0,3.29
Game 22,NES,1989,Platform,Activision,0.88,1.16,0.0,0.01,2.05
Game 23,DS,2000,Racing,Ubisoft,0.0,0.31,0.24,0.0,0.55
Game 24,PS3,1989,Sports,Activision,0.15,0.0,0.75,0.0,0.9
Game 25,PC,2002,Platform,Activision,0.93,0.0,0.1,0.54,1.57
Game 26,PC,1982,Platform,Sony,0.0,0.77,0.43,0.0,1.2
Game 27,NES,2011,Platform,Ubisoft,1.25,0.11,0.44,0.0,1.8
Game 28,DS,1999,Shooter,EA,0.08,1.84,0.1,0.99,3.01
Game 29,PS3,1989,Action,Microsoft,0.45,1.67,0.0,0.02,2.14
Game 30,X360,2008,Role-Playing,EA,0.08,1.01,0.0,0.46,1.55
Game 31,Wii,2020,Sports,Nintendo,3.02,0.0,0.72,0.65,4.39
Game 32,PS3,2013,Action,EA,0.78,0.0,0.77,0.51,2.06
Game 33,NES,2016,Shooter,Microsoft,0.0,1.5,0.0,0.26,1.76
Game 34,PC,1999,Sports,Microsoft,1.79,0.05,0.14,0.19,2.17
Game 35,X360,1987,Action,Ubisoft,0.0,1.4,0.0,0.42,1.82
Game 36,PS3,1986,Shooter,EA,1.05,0.88,0.78,0.11,2.82
Game 37,Wii,1985,Role-Playing,Nintendo,0.0,0.54,0.02,0.48,1.04
Game 38,Wii,1990,Platform,Activision,0.0,0.0,1.62,0.1,1.72
Game 39,PS4,1997,Action,Activision,1.04,0.42,0.43,0.14,2.03
Game 40,PS4,2008,Action,Nintendo,1.69,0.65,1.01,0.95,4.3
Game 41,GB,2004,Sports,Ubisoft,1.01,1.33,0.0,0.01,2.35
Game 42,NES,2000,Platform,Activision,0.66,0.0,0.31,0.21,1.18
Game 43,DS,1982,Role-Playing,Ubisoft,0.44,0.29,0.67,0.37,1.77
Game 44,PS3,1997,Sports,Activision,0.0,0.54,0.0,0.4,0.94
Game 45,PS3,2003,Racing,Activision,0.0,1.03,0.31,0.32,1.66
Game 46,DS,2017,Racing,EA,0.25,0.0,0.93,0.0,1.18
Game 47,GB,1989,Racing,Ubisoft,2.07,0.0,0.1,0.26,2.43
Game 48,PC,2006,Role-Playing,Microsoft,1.21,1.04,0.0,0.3,2.55
Game 49,PC,1991,Racing,Nintendo,0.0,0.0,1.38,0.66,2.04
Game 50,GB,1986,Action,Activision,1.19,1.53,0.0,0.5,3.22
Game 51,PC,1996,Sports,Microsoft,0.34,0.38,0.39,0.68,1.79
Game 52,PS4,1980,Action,Sony,0.0,0.0,0.0,0.0,0.0
Game 53,PS3,2005,Racing,Microsoft,1.53,0.12,0.0,0.0,1.65
Game 54,GB,1994,Sports,Nintendo,2.04,0.8,0.74,0.33,3.91
Game 55,PS3,2012,Action,Sony,1.92,0.07,0.18,0.65,2.82
Game 56,DS,2016,Role-Playing,EA,0.0,0.52,0.54,0.12,1.18
Game 57,Wii,2010,Platform,Sony,0.43,1.09,0.0,0.0,1.52
Game 58,PS4,2014,Action,Ubisoft,1.2,0.34,0.6,0.0,2.14
Game 59,X360,1980,Shooter,Nintendo,1.97,0.0,0.0,0.35,2.32
Game 60,PS4,1987,Racing,Ubisoft,0.22,0.26,0.0,0.15,0.63
Game 61,GB,1991,Shooter,Microsoft,0.58,1.63,1.43,0.03,3.67
Game 62,X360,1998,Platform,EA,0.0,1.85,0.66,0.56,3.07
Game 63,Wii,2004,Role-Playing,Nintendo,0.0,0.0,0.44,0.17,0.61
Game 64,GB,2011,Action,EA,1.78,1.37,1.05,0.2,4.4
Game 65,NES,1991,Role-Playing,Activision,2.43,0.7,0.45,0.56,4.14
Game 66,PS3,1992,Platform,Nintendo,0.71,1.24,0.0,1.08,3.03
Game 67,Wii,2007,Shooter,Ubisoft,2.0,0.06,0.2,0.02,2.28
Game 68,PS3,1980,Action,Microsoft,1.23,0.0,0.0,0.0,1.23
Game 69,PC,1985,Racing,Sony,0.03,0.97,0.0,0.0,1.0
Game 70,NES,1987,Sports,EA,1.23,0.0,0.0,0.39,1.62
Game 71,NES,1983,Role-Playing,Nintendo,2.65,0.0,0.0,0.0,2.65
Game 72,Wii,1984,Platform,Nintendo,0.76,0.0,0.84,0.05,1.65
